id,author_name,country
1,Yessenia Walter,Vietnam
2,Althea Heathcote,Korea
3,Tracey Howe,Thailand
4,Nelly Price,USA
5,Santo Rodriguez,France
6,Jayson Rippin,USA
7,Humberto Wisozk,Vietnam
8,Tim Koch,Japan
9,Jeanine Batz,UK
10,Major Kuvalis,Turkey
11,Marge Mante,Canada
12,Florentino Labadie,Vietnam
13,Dane Zemlak,Korea
14,Rhoda Jerde,Thailand
15,Kristina Abbott,USA
16,Dan Predovic,France
17,Hollis Pollich,USA
18,Sana Wehner,Vietnam
19,Damon Glover,Japan
20,Nicol Brekke,UK
21,Leo Lindgren,Turkey
22,Flora Stokes,Canada
23,Chelsey Monahan,Korea
24,Letha Turner,Korea
25,Jacquetta Murphy,Korea
26,Rocco Lubowitz,Korea
27,Joan Murazik,Korea
28,Krista Moen,Korea
29,Lillie Cummings,Korea
30,Isabel Weimann,Korea
31,Kelvin Parker,Korea
32,Virgil Langworth,Korea
33,Angelo Considine,Korea
34,Kenton Kuhn,Caracas
35,Toby Heathcote,Dar es Salaam
36,Digna Rolfson,Tbilisi
37,Melodie Smith,Kabul
38,Bo Feeney,Dushanbe
39,Reid Konopelski,Melekeok
40,Cathey Morar,Zagreb
41,Lawerence McDermott,Panama City
42,Nathanael Abernathy,Caracas
43,Royal Rosenbaum,Port Moresby
44,Efren Blanda,Bishkek
45,Hans Trantow,Monaco
46,Margorie Beier,Vietnam
47,Kaylene Schowalter,Caracas
48,Darlene Erdman,Dar es Salaam
49,Hector Frami,Tbilisi
50,Clair Franecki,Kabul
51,Hyon Bergnaum,Dushanbe
52,Kerrie Reichert,Melekeok
53,Raylene Heidenreich,Zagreb
54,Sally Jacobi,Panama City
55,Ji Rippin,Caracas
56,Neva Gibson,Port Moresby
57,Mechelle Stiedemann,Bishkek
58,Brittny Brekke,Monaco
59,Delmer Pollich,Dublin
60,Dudley Schimmel,Baku
61,Mitchell Shields,Tokyo
62,Brenton Herman,Dublin
63,Diamond Strosin,Manila
64,Reiko Nader,Gaborone
65,Mina Goyette,Dushanbe
66,Maritza Barton,Madrid
67,Randy Konopelski,Bern
68,Carmon Harber,Abu Dhabi
69,Cleveland Metz,Maputo
70,Bailey Aufderhar,Luanda
71,Vikki Bailey,Andorra la Vella
72,Bruno Schowalter,Yaounde
73,Russel Rosenbaum,Apia
74,Mira Ruecker,Libreville
75,Sammy Kiehn,Ulaanbaatar
76,Myron Bauch,Windhoek
77,Mika Aufderhar,Ashgabat
78,Jere Klocko,Port Louis
79,Naida Wyman,Vatican City
80,Andrew Rodriguez,Lusaka
81,Carroll Kozey,Singapore
82,Emilie Russel,Dili
83,Beckie Harvey,Asuncion
84,Linnie Lindgren,Damascus
85,Hai Boehm,Moroni
86,Enid Effertz,Sao Tome
87,Eddie Lubowitz,Ouagadougou
88,Lurlene Baumbach,Maseru
89,Fletcher Kautzer,Washington D.C.
